TIC,RAJ2000,DEJ2000,Period,ecc,base_flux,T0,tdur_pri,tdur_sec,phi_sec,sector1,sector2,nsector,npri,nsec,subtype,oce,meb,etv,oeb,sgl,Gaia3,Gmag,BP-RP,TOI,TOI_Disp,comments
91961,221.69755,-23.92012,5.2829437,0.024,1001.9009,1602.8228046,0.1055431,0.1029983,0.5,11,11,1,3,3,detached,,,,,,6230262246566057728,14.306,2.3654,,,WB ?
800254,130.33401,-27.649,20.4580891,0.055,197.07143,3701.7984326,0.0867558,0.0761353,0.5,8,89,3,3,3,detached,,,,,,5646117969577620352,15.857,2.5521,,,
1190662,136.04,-16.49353,0.8881696,0.181,896.80847,2966.6957808,0.0399867,0.0314638,0.5704,8,62,4,91,90,detached,,,1,,,5729639381075389952,14.223,2.4469,,,
1232360,137.31509,-12.60512,2.3839457,0.073,7152.562,1518.2643662,0.0358978,0.03474,0.5,8,35,2,15,17,detached,,,,,,5733036283594679552,12.001,2.469,,,
1587780,169.75337,-14.93769,1.3086409,0.137,149.03722,3015.4157315,0.0654123,0.0654123,0.5,63,63,1,19,17,detached,,,1,,,3561323423703102080,15.637,2.664,,,ztfv
2527981,289.09803,-29.33668,11.6922963,0.128,242.84036,2037.2126678,0.2921309,0.2065365,0.5,27,92,2,3,4,detached,,,,,,6759433072484111872,15.559,2.2248,,,?
4247738,115.32852,31.24282,1.302254,0.039,224.20166,1843.8658136,0.0640402,0.061063,0.5001,20,72,8,133,129,detached,,,,,,880029457397272192,15.747,2.5443,,,css ztfv good
4619242,349.28866,-9.43508,8.6049489,0.034,950.38672,3211.8359731,0.075321,0.0706658,0.5,70,92,2,5,5,detached,,,,,,2437966171858282112,14.185,2.3695,5295,PC,
4723156,39.44235,-7.09679,9.4900779,0.231,1550.3409,1428.1381693,0.1082379,0.0648624,0.4444,4,31,2,4,4,detached,,,,,,5178577416092282496,13.902,3.2649,,,good ztfv
5868998,187.78215,-23.77356,1.271058,0.073,520.23297,1572.4756002,0.0516917,0.0516453,0.5001,10,90,3,54,51,detached,,,,,,3501271053530782080,14.973,2.3696,749,PC,good WB
7439480,212.92949,-29.97505,2.5085365,0.0,862.71533,4128.6170601,0.0611592,0.0569091,0.5002,102,102,1,8,8,detached,,,,,,6172969891098581120,14.138,2.162,6110,PC,
7439481,212.92913,-29.97408,2.5082438,0.083,368.49976,2336.4768413,0.063207,0.0638366,0.5002,38,64,2,18,20,detached,,,,,,6172969891098581248,15.25,2.4558,4339,PC,?
8769657,140.36812,33.43296,0.4265938,0.022,1108.7549,1870.9373534,0.0474357,0.0470959,0.4997,21,48,2,106,106,detached,1,,1,,,702082159096764288,14.045,2.416,,,gaia3 ztfv
8772485,66.61178,54.71667,6.2566544,0.0,981.10144,1816.8517123,0.6256654,0.6256654,0.5,19,19,1,4,4,detached,,,,,,275549815925918464,14.581,2.7153,,,HB
8988730,354.69819,-7.80665,2.3753872,0.029,669.20142,2448.6090886,0.0750086,0.077293,0.5001,42,42,1,7,6,detached,,,,,,2439165223648267648,14.615,2.6453,,,good ztfv
9172417,62.05749,-5.7566,0.2451947,0.005,2765.3569,1438.2839878,0.0269021,0.0271716,0.4999,5,5,1,97,98,detached,1,,,,,3197424691686461056,13.153,2.2997,,,?
9804616,47.64313,-9.27678,1.0336757,0.116,364.94427,1411.0658564,0.0393052,0.0367409,0.4996,4,4,1,20,20,detached,1,,,,,5167341850365479296,15.367,2.6968,460,EB,
10686217,299.46656,-10.88478,1.0126926,0.014,3717.916,3507.0013919,0.0408232,0.0408718,0.5002,81,92,2,41,39,detached,1,,,,,4189472728736232704,12.836,3.0465,,,good ztfv
10863087,25.9381,-6.0445,,0.0,,,,,,,,,,,,,,,,1,2479453696216295296,11.66,2.758,,,good
11756637,90.61487,-1.31694,4.3064138,0.003,1120.6365,1469.1369293,0.1122137,0.1123537,0.4981,6,33,2,9,11,detached,1,,,,,3026029280097368960,14.077,2.4935,,,ztfv
12158853,91.55601,-3.61893,1.2623851,0.011,3539.6663,1469.552191,0.0600336,0.0595136,0.5002,6,6,1,17,16,detached,,,1,,,3021723833079813504,12.791,2.441,,,good ztfv
12571728,52.253,-7.46289,1.2063244,0.0,127.58863,2145.2109745,0.1206324,0.1206324,0.5,31,31,1,18,20,detached,,,1,,,5168561621077853440,16.359,2.2058,,,
12632044,53.18112,-8.92757,0.2016317,0.0,3366.1616,1411.0976661,0.1139052,0.0805553,0.5,4,4,1,102,104,contact,,,,,,5165151485764431360,12.694,2.0661,,,gaia3 ztfv
12862119,3.96921,-12.08015,,,,,,,,,,,,,,,,,,1,2424392391576471936,16.778,2.8262,,,
12999193,346.85671,-28.35398,2.9653141,0.11,720.11743,3910.0368227,0.0370329,0.0370329,0.5,96,96,1,7,6,detached,,,,,,6606473820890373248,14.518,2.4152,7689,PC,
13345688,78.75878,-27.23963,0.6959686,0.0,183.04082,3996.0325399,0.0732261,0.0824402,0.55,98,98,1,46,47,detached,,,,,,2956050415872036864,16.198,3.2196,,,
13684720,305.53802,36.06457,24.8759309,0.014,978.91162,1695.0119451,0.066629,0.0648586,0.5,14,82,7,7,6,detached,,,,,,2057288892412649472,13.748,2.8012,1433,PC,additional
14675072,126.7538,21.95686,2.9329522,0.0,30886.455,2501.5602818,0.0969029,0.0955092,0.4979,44,46,3,22,24,detached,,,1,,,665777212860770560,10.159,1.842,,,good
15230595,279.90995,16.38708,0.5667534,0.018,8100.001,2391.128617,0.0565489,0.056789,0.499,40,53,2,84,87,detached,1,,,,,4511540132852601984,11.607,1.9188,,,gaia3 ztfv
16005254,63.26603,20.91525,7.5841107,0.0,799.10046,3235.8394597,0.0758593,0.0755036,0.4999,71,71,1,4,2,detached,,,,,,52359538285081728,14.319,2.2618,5344,PC,
16059780,253.50769,-25.9201,2.4414004,0.081,772.06311,3777.0329306,0.049748,0.0490921,0.4998,91,91,1,8,7,detached,1,,,,,6034486435967864320,14.528,2.5887,,,?
16316642,307.61376,41.22365,4.021854,0.0,14806.168,1684.3248433,2.2727003,2.2727003,0.5,14,75,5,29,29,contact,,,,,,2067818533010251776,11.403,3.0776,,,gaia3 ztfv
16728252,307.79394,41.53152,4.8523592,0.112,25357.602,1685.2502468,0.4651151,0.4331387,0.435,14,75,5,25,24,detached,,,1,,,2067846574853004672,10.449,1.925,,,?
17034490,308.09343,41.30526,6.5981519,0.097,242602.92,1686.8177411,3.729661,3.729661,0.5,14,75,5,18,18,detached,,,,,,2067830941174418048,8.232,2.335,,,gaia3
17197667,64.68749,22.05434,4.793095,0.215,141.0643,3210.7361458,0.0547611,0.0752993,0.4332,70,71,2,9,10,detached,,,,,,148618895079675776,16.5,3.0618,,,good ztfv
17456038,308.27193,41.72687,5.1900593,0.206,6615.9785,2420.7354986,0.2587402,0.1861509,0.4999,41,76,5,24,24,detached,,,,,,2067934394049131520,11.989,2.1469,,,?
